case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
2,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.863845,2.010566,0.508032,-0.939096,initial_heading_error,-0.939096,-1.058400,0.119304,True
2,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.863845,2.010566,0.508032,-0.939096,initial_heading_error,-0.939096,0.824600,1.763696,True
11,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.450116,0.277727,0.789598,-0.975879,initial_heading_error,-0.975879,-1.058400,0.082521,True
11,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.450116,0.277727,0.789598,-0.975879,initial_heading_error,-0.975879,0.824600,1.800479,True
13,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.180585,0.660203,0.970068,0.552230,initial_heading_error,0.552230,0.824600,0.272370,True
13,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.180585,0.660203,0.970068,0.552230,initial_heading_error,0.552230,-1.058400,1.610630,True
20,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.504705,1.825050,0.909076,-0.157553,initial_heading_error,-0.157553,-1.058400,0.900847,True
20,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.504705,1.825050,0.909076,-0.157553,initial_heading_error,-0.157553,0.824600,0.982153,True
21,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.187704,0.445099,0.465271,0.201282,initial_heading_error,0.201282,0.824600,0.623318,True
21,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.187704,0.445099,0.465271,0.201282,initial_heading_error,0.201282,-1.058400,1.259682,True
29,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.789673,2.431594,0.429413,-0.998914,initial_heading_error,-0.998914,-1.058400,0.059486,True
29,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.789673,2.431594,0.429413,-0.998914,initial_heading_error,-0.998914,0.824600,1.823514,True
43,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.360341,1.710925,0.652438,-0.488787,initial_heading_error,-0.488787,-1.058400,0.569613,True
43,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.360341,1.710925,0.652438,-0.488787,initial_heading_error,-0.488787,0.824600,1.313387,True
50,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.907554,0.028982,0.538989,0.233012,initial_heading_error,0.233012,0.824600,0.591588,True
50,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.907554,0.028982,0.538989,0.233012,initial_heading_error,0.233012,-1.058400,1.291412,True
54,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.442456,2.078870,0.624367,-0.773050,initial_heading_error,-0.773050,-1.058400,0.285350,True
54,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.442456,2.078870,0.624367,-0.773050,initial_heading_error,-0.773050,0.824600,1.597650,True
56,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.818051,1.884569,0.360911,0.435581,initial_heading_error,0.435581,0.824600,0.389019,True
56,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.818051,1.884569,0.360911,0.435581,initial_heading_error,0.435581,-1.058400,1.493981,True
57,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.431272,1.509548,0.803079,-0.970028,initial_heading_error,-0.970028,-1.058400,0.088372,True
57,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.431272,1.509548,0.803079,-0.970028,initial_heading_error,-0.970028,0.824600,1.794628,True
58,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.043237,2.396637,0.887076,-0.509292,initial_heading_error,-0.509292,-1.058400,0.549108,True
58,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.043237,2.396637,0.887076,-0.509292,initial_heading_error,-0.509292,0.824600,1.333892,True
60,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.947314,0.852553,0.804625,0.294883,initial_heading_error,0.294883,0.824600,0.529717,True
60,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.947314,0.852553,0.804625,0.294883,initial_heading_error,0.294883,-1.058400,1.353283,True
67,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.106547,0.947139,0.436259,-0.633012,initial_heading_error,-0.633012,-1.058400,0.425388,True
67,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.106547,0.947139,0.436259,-0.633012,initial_heading_error,-0.633012,0.824600,1.457612,True
70,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.409963,1.674887,0.483599,-0.298017,initial_heading_error,-0.298017,-1.058400,0.760383,True
70,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.409963,1.674887,0.483599,-0.298017,initial_heading_error,-0.298017,0.824600,1.122617,True
73,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.688880,0.405250,0.572231,0.184364,initial_heading_error,0.184364,0.824600,0.640236,True
73,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.688880,0.405250,0.572231,0.184364,initial_heading_error,0.184364,-1.058400,1.242764,True
74,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.271373,1.179191,0.500011,-0.583863,initial_heading_error,-0.583863,-1.058400,0.474537,True
74,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.271373,1.179191,0.500011,-0.583863,initial_heading_error,-0.583863,0.824600,1.408463,True
75,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.611875,2.429390,0.666897,-0.568709,initial_heading_error,-0.568709,-1.058400,0.489691,True
75,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.611875,2.429390,0.666897,-0.568709,initial_heading_error,-0.568709,0.824600,1.393309,True
76,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.408665,1.010407,0.967701,-0.256427,initial_heading_error,-0.256427,-1.058400,0.801973,True
76,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.408665,1.010407,0.967701,-0.256427,initial_heading_error,-0.256427,0.824600,1.081027,True
77,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.126420,1.580924,0.801947,0.200064,initial_heading_error,0.200064,0.824600,0.624536,True
77,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.126420,1.580924,0.801947,0.200064,initial_heading_error,0.200064,-1.058400,1.258464,True
78,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.099339,2.369402,0.604675,-0.406223,initial_heading_error,-0.406223,-1.058400,0.652177,True
78,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.099339,2.369402,0.604675,-0.406223,initial_heading_error,-0.406223,0.824600,1.230823,True
79,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.306069,0.024018,0.644424,0.031227,initial_heading_error,0.031227,0.824600,0.793373,True
79,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.306069,0.024018,0.644424,0.031227,initial_heading_error,0.031227,-1.058400,1.089627,True
80,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.473051,1.677054,0.712253,-0.424592,initial_heading_error,-0.424592,-1.058400,0.633808,True
80,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.473051,1.677054,0.712253,-0.424592,initial_heading_error,-0.424592,0.824600,1.249192,True
81,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.405040,0.451280,0.410303,0.183773,initial_heading_error,0.183773,0.824600,0.640827,True
81,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.405040,0.451280,0.410303,0.183773,initial_heading_error,0.183773,-1.058400,1.242173,True
82,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.758629,0.037050,0.556069,-0.059659,initial_heading_error,-0.059659,0.824600,0.884259,True
82,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.758629,0.037050,0.556069,-0.059659,initial_heading_error,-0.059659,-1.058400,0.998741,True
84,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.199094,0.930263,0.546076,-0.497391,initial_heading_error,-0.497391,-1.058400,0.561009,True
84,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.199094,0.930263,0.546076,-0.497391,initial_heading_error,-0.497391,0.824600,1.321991,True
87,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.537753,0.691512,0.702369,-0.695149,initial_heading_error,-0.695149,-1.058400,0.363251,True
87,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.537753,0.691512,0.702369,-0.695149,initial_heading_error,-0.695149,0.824600,1.519749,True
88,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.096233,0.725058,0.822699,-0.271820,initial_heading_error,-0.271820,-1.058400,0.786580,True
88,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.096233,0.725058,0.822699,-0.271820,initial_heading_error,-0.271820,0.824600,1.096420,True
89,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.967655,0.002401,0.371041,-0.176791,initial_heading_error,-0.176791,-1.058400,0.881609,True
89,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.967655,0.002401,0.371041,-0.176791,initial_heading_error,-0.176791,0.824600,1.001391,True
90,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.868465,0.673097,0.764895,-0.074312,initial_heading_error,-0.074312,0.824600,0.898912,True
90,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.868465,0.673097,0.764895,-0.074312,initial_heading_error,-0.074312,-1.058400,0.984088,True
91,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.642550,0.077549,0.648923,-0.413720,initial_heading_error,-0.413720,-1.058400,0.644680,True
91,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.642550,0.077549,0.648923,-0.413720,initial_heading_error,-0.413720,0.824600,1.238320,True
92,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.074594,0.429244,0.607290,-0.327598,initial_heading_error,-0.327598,-1.058400,0.730802,True
92,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.074594,0.429244,0.607290,-0.327598,initial_heading_error,-0.327598,0.824600,1.152198,True
96,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.490251,2.351495,0.478629,-0.145313,initial_heading_error,-0.145313,-1.058400,0.913087,True
96,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.490251,2.351495,0.478629,-0.145313,initial_heading_error,-0.145313,0.824600,0.969913,True
98,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.244490,1.959748,0.661893,0.313978,initial_heading_error,0.313978,0.824600,0.510622,True
98,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.244490,1.959748,0.661893,0.313978,initial_heading_error,0.313978,-1.058400,1.372378,True
99,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.868797,0.481479,0.665820,0.375485,initial_heading_error,0.375485,0.824600,0.449115,True
99,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.868797,0.481479,0.665820,0.375485,initial_heading_error,0.375485,-1.058400,1.433885,True
100,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.303146,0.485287,0.940742,0.140722,initial_heading_error,0.140722,0.824600,0.683878,True
100,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.303146,0.485287,0.940742,0.140722,initial_heading_error,0.140722,-1.058400,1.199122,True
101,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.197563,2.290531,0.529789,-0.456335,initial_heading_error,-0.456335,-1.058400,0.602065,True
101,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.197563,2.290531,0.529789,-0.456335,initial_heading_error,-0.456335,0.824600,1.280935,True
102,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.031039,0.684885,0.687105,-0.927074,initial_heading_error,-0.927074,-1.058400,0.131326,True
102,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.031039,0.684885,0.687105,-0.927074,initial_heading_error,-0.927074,0.824600,1.751674,True
103,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.372928,2.061941,0.790246,-0.195716,initial_heading_error,-0.195716,-1.058400,0.862684,True
103,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.372928,2.061941,0.790246,-0.195716,initial_heading_error,-0.195716,0.824600,1.020316,True
104,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.141718,1.440530,0.869894,-0.271689,initial_heading_error,-0.271689,-1.058400,0.786711,True
104,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.141718,1.440530,0.869894,-0.271689,initial_heading_error,-0.271689,0.824600,1.096289,True
108,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.316303,1.974758,0.670236,0.263406,initial_heading_error,0.263406,0.824600,0.561194,True
108,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.316303,1.974758,0.670236,0.263406,initial_heading_error,0.263406,-1.058400,1.321806,True
109,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.267683,0.588703,0.351583,-0.382620,initial_heading_error,-0.382620,-1.058400,0.675780,True
109,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.267683,0.588703,0.351583,-0.382620,initial_heading_error,-0.382620,0.824600,1.207220,True
110,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.594549,1.635066,0.451144,0.039933,initial_heading_error,0.039933,0.824600,0.784667,True
110,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.594549,1.635066,0.451144,0.039933,initial_heading_error,0.039933,-1.058400,1.098333,True
112,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.983538,0.410616,0.614498,-0.015883,initial_heading_error,-0.015883,0.824600,0.840483,True
112,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.983538,0.410616,0.614498,-0.015883,initial_heading_error,-0.015883,-1.058400,1.042517,True
116,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.241881,2.113719,0.955495,-0.471958,initial_heading_error,-0.471958,-1.058400,0.586442,True
116,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.241881,2.113719,0.955495,-0.471958,initial_heading_error,-0.471958,0.824600,1.296558,True
118,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.499494,1.274577,0.966565,-0.473525,initial_heading_error,-0.473525,-1.058400,0.584875,True
118,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.499494,1.274577,0.966565,-0.473525,initial_heading_error,-0.473525,0.824600,1.298125,True
119,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.919012,1.449025,0.488891,-0.248179,initial_heading_error,-0.248179,-1.058400,0.810221,True
119,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.919012,1.449025,0.488891,-0.248179,initial_heading_error,-0.248179,0.824600,1.072779,True
120,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.243629,2.485745,0.608604,0.437445,initial_heading_error,0.437445,0.824600,0.387155,True
120,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.243629,2.485745,0.608604,0.437445,initial_heading_error,0.437445,-1.058400,1.495845,True
121,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.586079,0.203286,0.863716,-1.025993,initial_heading_error,-1.025993,-1.058400,0.032407,True
121,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.586079,0.203286,0.863716,-1.025993,initial_heading_error,-1.025993,0.824600,1.850593,True
122,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.833775,1.507590,0.697107,-0.042422,initial_heading_error,-0.042422,0.824600,0.867022,True
122,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,1.833775,1.507590,0.697107,-0.042422,initial_heading_error,-0.042422,-1.058400,1.015978,True
124,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,2.481280,0.235015,0.930706,-0.601956,initial_heading_error,-0.601956,-1.058400,0.456444,True
